master_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,rf_score,segment,categories
076dbc0c-f35c-11e9-9346-000d3a38a36f,29,2.0,197.18,5,1,1,51,new_customers,"[COCUK, KADIN]"
079f310c-d6e6-11e9-93bc-000d3a38a36f,139,2.0,334.79999999999995,3,1,2,31,about_to_sleep,"[ERKEK, KADIN, AKTIFSPOR]"
07cf1f72-ace1-11e9-a2fc-000d3a38a36f,12,2.0,313.83,5,1,2,51,new_customers,"[ERKEK, KADIN]"
080f81a8-d7d3-11e9-93bc-000d3a38a36f,117,2.0,210.77,3,1,1,31,about_to_sleep,[ERKEK]
082a559c-1b02-11ea-98d5-000d3a38a36f,87,2.0,334.96999999999997,3,1,2,31,about_to_sleep,"[ERKEK, AKTIFSPOR]"
084ad668-5bae-11ea-9e58-000d3a38a36f,6,2.0,233.47,5,1,1,51,new_customers,"[COCUK, KADIN]"
087daaba-7189-11eb-a3e2-000d3a38a36f,105,2.0,99.38,3,1,1,31,about_to_sleep,"[ERKEK, KADIN]"
08934cc6-a6e2-11e9-a2fc-000d3a38a36f,142,2.0,569.97,3,1,3,31,about_to_sleep,"[AKTIFCOCUK, AKTIFSPOR]"
08f9f69c-a1fb-11e9-a2fc-000d3a38a36f,135,3.0,173.97,3,2,1,32,about_to_sleep,"[AKTIFCOCUK, ERKEK, COCUK, KADIN]"
0904db6a-8504-11ea-80af-000d3a38a36f,5,2.0,211.84,5,1,1,51,new_customers,"[ERKEK, AKTIFSPOR]"
091f02ce-aeea-11e9-a2fc-000d3a38a36f,5,2.0,316.96999999999997,5,1,2,51,new_customers,[ERKEK]
0950a7f6-ab9e-11e9-a2fc-000d3a38a36f,114,3.0,687.4000000000001,3,2,4,32,about_to_sleep,"[COCUK, AKTIFSPOR]"
0974a468-42fb-11ea-8b43-000d3a38a36f,116,2.0,299.97,3,1,1,31,about_to_sleep,"[AKTIFCOCUK, COCUK, AKTIFSPOR]"
097f5c80-4f32-11ea-99ba-000d3a38a36f,134,3.0,439.88,3,2,2,32,about_to_sleep,[COCUK]
097f760a-2bf8-11ea-91ab-000d3a38a36f,7,2.0,369.89,5,1,2,51,new_customers,"[AKTIFCOCUK, AKTIFSPOR]"
099ba066-5e6d-11eb-8dbd-000d3a38a36f,107,2.0,425.7,3,1,2,31,about_to_sleep,[ERKEK]
09ae6c5a-bd50-11ea-aa61-000d3a38a36f,97,2.0,180.87,3,1,1,31,about_to_sleep,[COCUK]
09bcde3c-26d5-11ea-aaaa-000d3a38a36f,136,2.0,169.98,3,1,1,31,about_to_sleep,[ERKEK]
09cb00a8-ad44-11e9-a2fc-000d3a38a36f,267,11.0,1510.21,1,5,5,15,cant_loose,"[ERKEK, COCUK]"
09f05e5c-8416-11eb-b62d-000d3a38a36f,6,2.0,510.8,5,1,3,51,new_customers,"[ERKEK, KADIN, AKTIFSPOR]"
09f7a470-5bed-11ea-bdcb-000d3a38a36f,138,2.0,215.73,3,1,1,31,about_to_sleep,[ERKEK]
0a4bd6a2-acad-11e9-a2fc-000d3a38a36f,133,3.0,539.97,3,2,3,32,about_to_sleep,"[ERKEK, KADIN, AKTIFSPOR]"
0a7329f8-a110-11e9-a2fc-000d3a38a36f,138,3.0,269.97,3,2,1,32,about_to_sleep,[ERKEK]
0a9011fe-2f71-11ea-bb80-000d3a38a36f,285,14.0,1558.86,1,5,5,15,cant_loose,[ERKEK]
0aabbcf2-2494-11ea-bf27-000d3a38a36f,123,2.0,349.89,3,1,2,31,about_to_sleep,"[AKTIFCOCUK, ERKEK]"
0b195256-aab1-11e9-a2fc-000d3a38a36f,175,8.0,2118.26,2,5,5,25,cant_loose,"[ERKEK, COCUK, AKTIFSPOR]"
0b27d99c-9df0-11ea-80cd-000d3a38a36f,127,2.0,170.86,3,1,1,31,about_to_sleep,[AKTIFCOCUK]
0b640f60-1c87-11ea-a490-000d3a38a36f,105,2.0,254.95,3,1,1,31,about_to_sleep,"[COCUK, KADIN, AKTIFSPOR]"
